lifetime,max_ch1,max_ch2,ch1_lifetime,ch2_lifetime,ch1_dist,ch2_dist,md_ch1,md_ch2,track_category,condition,replicate,cell_id
301.0,127.17528919575204,290.3638146779834,301.0,76.0,9.656004035119192,9.67094667763208,0.30762207598016444,0.578317131923386,4.0,0,1,0-1
301.0,116.12952644636175,500.2716023472091,301.0,151.0,8.842962030467596,8.41253603785799,0.3249401600469823,0.8010005744796329,4.0,0,1,0-1
301.0,148.48539778844855,465.3481715695486,301.0,66.0,26.06633030590418,26.883895469483424,0.33193451677903935,0.9192836168739486,4.0,0,1,0-1
301.0,86.48807165348902,245.34642873885352,301.0,52.0,14.733596922721135,17.5376304633262,0.3823073372095349,1.179293779327046,4.0,0,1,0-1
301.0,111.81124215768293,116.34540617508695,301.0,40.0,23.881827348851132,26.06316147355482,0.4479292650468205,1.482066873121856,4.0,0,1,0-1
301.0,79.73111055944872,108.22369484554187,301.0,82.0,28.087871496925555,28.330733399310667,0.4200801878190764,1.3531932844181587,4.0,0,1,0-1
301.0,112.04253383663102,234.9466997279083,301.0,54.0,8.60486877243525,7.459401264276882,0.38833210718303435,1.3057101710774763,4.0,0,1,0-1
301.0,137.85348021234054,128.71010122746983,301.0,108.0,2.8713242544145023,1.5530401485680565,0.34868424707501156,0.8650664894349078,4.0,0,1,0-1
301.0,100.17298774535276,498.58413987206916,301.0,301.0,3.7676240820309945,2.6924301174808885,0.5447541867614386,0.4681794668464232,4.0,0,1,0-1
301.0,109.5300858263645,107.74712789768714,301.0,44.0,13.196217231840318,14.438530473993408,0.3066207527971187,1.1333065085156564,4.0,0,1,0-1
301.0,119.256983386229,539.8016880493154,301.0,90.0,1.3960973143146191,2.3080622928189625,0.3328545159319815,0.9990853000949316,4.0,0,1,0-1
301.0,135.0110496595618,312.04077249414416,301.0,181.0,5.3665367387559995,6.152097114302569,0.26932026527421093,0.8428311471616617,4.0,0,1,0-1
301.0,160.33273494283924,288.85689594177165,301.0,173.0,8.047436110937538,7.668101296634055,0.2384728485240429,0.5472333709212344,4.0,0,1,0-1
301.0,68.55163905294695,213.09561199149297,301.0,218.0,1.0658411674011028,1.082877066397389,0.4738759270463338,0.48901450356167403,4.0,0,1,0-1
301.0,126.97133834914524,155.33090092299827,301.0,61.0,12.185313692846314,14.415370188535409,0.31019148448840306,1.036558942261248,4.0,0,1,0-1
301.0,151.73823084202698,221.0039469333848,301.0,156.0,1.9429609010466995,1.4884929070382293,0.3037430131667509,0.9643261535519514,4.0,0,1,0-1
301.0,133.02007532699875,303.94390956079286,301.0,207.0,3.918620479062351,3.854282698870492,0.32515052115202914,0.4629687588112072,4.0,0,1,0-1
301.0,180.41038031511061,914.2938460726214,301.0,301.0,12.594589415451711,13.803095079139574,0.2917916793207045,0.16076229170005177,4.0,0,1,0-1
301.0,134.70124938401054,755.9881133024467,301.0,138.0,7.197068647486201,6.5348114614603725,0.3565060196724391,0.44396360277818103,4.0,0,1,0-1
301.0,231.99500826222646,385.69247518200154,301.0,301.0,5.259662289050446,3.696000189098245,0.2895252696817181,0.3385583563429565,4.0,0,1,0-1
301.0,152.30898122737054,1391.9983955893595,301.0,125.0,0.5933652488465369,1.627611345632805,0.2597608480126686,0.6569556974521558,4.0,0,1,0-1
301.0,266.63763150362206,583.43079004124,301.0,301.0,10.775514370612832,10.407779087975229,0.3242590554197644,0.3446932433120051,4.0,0,1,0-1
301.0,114.22588824976762,237.26303881706363,301.0,28.0,10.15836338135078,11.419165411125608,0.27834717352309474,1.105135374865525,4.0,0,1,0-1
301.0,82.82616344980887,324.719786999865,301.0,299.0,11.016023899859189,11.123371228385865,0.4531340790433696,0.37831790619802086,4.0,0,1,0-1
301.0,91.63787541935733,350.564680854138,301.0,301.0,7.5968203593889445,7.749781431738341,0.47548521853008896,0.42136566397847086,4.0,0,1,0-1
