lifetime,max_ch1,max_ch2,max_ch3,ch1_lifetime,ch2_lifetime,ch3_lifetime,ch1_dist,ch2_dist,ch3_dist,md_ch1,md_ch2,md_ch3,track_category,condition,replicate,cell_id
301.0,246.1256638659581,448.58940630030327,34.23666448849808,301.0,97.0,6.0,8.363920061212424,7.997350497257079,10.314121615907514,0.24019745137076204,0.706022737184433,1.382533114783721,4.0,0,1,0-1
301.0,163.5896887938979,132.27265527017917,62.848867876457376,301.0,172.0,43.0,8.61691278841931,8.749520670265833,6.961814758057671,0.25029909315307464,0.5896030231096154,1.2471687776742912,4.0,0,1,0-1
301.0,97.81255902180142,329.63992693682843,46.38400772854266,301.0,176.0,10.0,1.854963896474727,2.6382773033147155,0.7995206037380818,0.30568411429633335,0.4598151329289154,1.6489418085954293,4.0,0,1,0-2
301.0,91.72773963232737,375.85115345166474,41.47374981485819,301.0,241.0,5.0,10.087949236680377,10.563051990768482,10.087949236680377,0.3385982985461636,0.24455116562573362,1.3837834083136518,4.0,0,1,0-2
301.0,118.47539171295942,332.48708111062933,58.927365014423025,301.0,190.0,76.0,6.507570420276107,6.093960035861844,5.458024551785161,0.3399223010936126,0.5704501772567884,0.5884824761863192,4.0,0,1,0-2
301.0,198.19871265835513,388.3004031772024,39.059208137094984,301.0,165.0,3.0,6.44828280096662,5.999178819421821,7.733647150674808,0.3488857679094619,0.4471560369652044,1.243947397298233,4.0,0,1,0-2
301.0,247.8967422190685,833.3824528333106,129.0893157895786,301.0,284.0,95.0,4.298783450133346,5.09461474254146,4.298783450133346,0.1807592681275593,0.3419533881594851,0.8167481356367787,4.0,0,1,0-2
301.0,192.47494157599658,780.4371972958288,135.13124341218864,301.0,301.0,166.0,5.50172474542355,6.663216236777046,5.857446847245834,0.22280749120717455,0.15785745346795185,0.4397985798417282,4.0,0,1,0-2
301.0,150.01067712822635,694.0465163079932,50.014252077556144,301.0,72.0,3.0,9.65133398215603,9.338680602364324,12.977903014693876,0.23440761569888602,0.5816399087323837,1.5786150324696508,4.0,0,1,0-2
301.0,121.2998924890856,1103.9266281056393,53.57231216406728,301.0,138.0,4.0,10.198137375921947,11.200206881476385,10.198137375921947,0.338845509117452,0.5321978117458666,1.6520208492365756,4.0,0,1,0-2
301.0,186.84583952052924,298.5911583134462,92.04111636265436,301.0,209.0,4.0,5.483339003126886,5.490316899938769,6.4896299681517835,0.24389899673383095,0.5656617576579316,1.0246797696269114,4.0,0,1,0-2
301.0,217.28499166157934,501.8027642121625,54.76758940615186,301.0,77.0,3.0,1.226046533657176,1.612662296180038,1.226046533657176,0.21631117032442992,0.6155102392322243,1.6360323204112819,4.0,0,1,0-2
301.0,151.37106551136384,285.08868891585377,55.35492540224432,301.0,301.0,6.0,4.458910032778214,4.992107114966557,4.3575549568258305,0.22962031927601928,0.3606531558013633,1.540030648180623,4.0,0,1,0-2
301.0,134.86930770467313,1033.5098708865298,121.54340608703878,301.0,301.0,56.0,3.8848270383004277,5.79798585488459,6.224457138700853,0.36610014807392777,0.314506145496256,1.1622627552700762,4.0,0,1,0-2
301.0,97.57841809777477,464.8129210752383,44.108052398554975,301.0,68.0,4.0,0.9339587311660454,2.1112785222668333,0.9339587311660454,0.3939305628396715,0.7009942296952256,1.5654350643828179,4.0,0,1,0-2
301.0,112.90017313783403,920.0547068131709,37.3573563417938,301.0,127.0,3.0,12.237387286362088,10.366459454356399,11.302683897588196,0.3156222436939972,0.6073477310451593,1.481081632733495,4.0,0,1,0-2
301.0,101.49745958409474,305.65484746170773,39.030515551815775,279.0,141.0,4.0,8.494399650522599,8.048686739412267,8.494399650522599,0.34446878847514173,0.6264627061105532,1.6474930299824377,4.0,0,1,0-2
301.0,98.34795358649511,198.11100414612216,48.78358948675259,156.0,211.0,3.0,5.038393636495346,4.73100427359829,5.00764086929973,0.4587500612597952,0.7283909640417594,1.5665082377892219,4.0,0,1,0-2
301.0,110.47286706809868,244.08465806053056,29.503340683457893,276.0,179.0,3.0,4.765217420118022,5.036281672013925,4.319885882595122,0.4070883397611253,0.4825511364145469,1.4781913203586712,4.0,0,1,0-2
301.0,92.27716102742056,376.27391303046807,51.5431457289752,274.0,78.0,9.0,6.201609735602082,5.535587268553736,7.998622394927989,0.3881489210648999,0.474609943926617,1.6029001566779788,4.0,0,1,0-2
301.0,68.01163987480773,415.45401667525255,30.94821822345528,272.0,83.0,6.0,5.502377763804323,4.453852330820913,4.967004588214054,0.4553266137864291,0.9593545749750545,1.9334312964545082,4.0,0,1,0-2
197.0,58.406490719819196,1116.679472166016,43.45737551133638,44.0,197.0,3.0,3.136929682537102,3.4597075242712876,6.276321259892306,0.6206151059871591,0.1800867155280872,1.9217827664574505,1.0,0,1,0-2
172.0,51.52110461410218,184.85539196687378,28.348551973577013,78.0,38.0,3.0,3.7082341594795274,3.7834982268847903,1.3607885513910933,0.6665316475799052,0.9170138509249879,1.7565998042235915,1.0,0,1,0-2
124.0,101.03375279754937,222.99854472009517,36.99309190248108,95.0,85.0,3.0,1.69267012101186,0.7167512199632927,4.199260164624885,0.5203346296043964,0.4301806478782209,1.3218304080321306,1.0,0,1,0-2
